seller_state,orders,avg_delivery_days,avg_estimated_days,pct_late,late_orders
AM,3,47.333333333333336,38.0,0.6667,2
MA,389,17.271144278606965,27.915422885572138,0.2363,95
PA,8,13.125,23.625,0.125,1
RN,51,12.642857142857142,25.410714285714285,0.1071,6
CE,87,17.433333333333334,30.27777777777778,0.0889,8
SP,68641,11.81086032723479,22.512721998880465,0.0852,6697
RJ,4227,11.558164354322304,23.422838847385272,0.0811,380
MS,49,11.9,28.68,0.08,4
DF,808,12.088335220838053,24.621744054360136,0.0668,59
ES,310,12.417582417582418,25.217032967032967,0.0659,24
PR,7512,12.921762695887828,26.556144691881702,0.0646,548
SC,3603,13.0955,26.71775,0.0588,235
MG,7735,12.327636321357982,25.215971172846682,0.0554,477
BA,550,13.413461538461538,25.578525641025642,0.0545,34
PB,35,12.162162162162161,31.16216216216216,0.0541,2
MT,136,14.256944444444445,29.319444444444443,0.0486,7
RS,1962,11.092208390963577,26.81650530198248,0.0447,97
PE,403,12.496629213483146,28.094382022471912,0.0404,18
GO,451,12.37007874015748,26.118110236220474,0.0394,20
PI,11,13.272727272727273,27.727272727272727,0.0,0
RO,14,16.928571428571427,40.92857142857143,0.0,0
SE,9,12.2,28.9,0.0,0
