purchase_year_month,purchase_year,purchase_month,purchase_month_name,month_order,revenue,orders,items,avg_ticket
2016-09,2016,9,Sep,9,134.97,1,3,44.99
2016-10,2016,10,Oct,10,40325.11,265,313,128.83421725239617
2016-12,2016,12,Dec,12,10.9,1,1,10.9
2017-01,2017,1,Jan,1,111798.36,750,913,122.45165388828039
2017-02,2017,2,Feb,2,234223.4,1653,1858,126.062109795479
2017-03,2017,3,Mar,3,359198.85,2546,2897,123.98993786675871
2017-04,2017,4,Apr,4,340669.68,2303,2569,132.60789412222655
2017-05,2017,5,May,5,489338.25,3546,4004,122.21235014985015
2017-06,2017,6,Jun,6,421923.37,3135,3489,120.92959873889366
2017-07,2017,7,Jul,7,481604.52,3872,4416,109.05899456521739
2017-08,2017,8,Aug,8,554699.7,4193,4797,115.63470919324577
2017-09,2017,9,Sep,9,607399.67,4150,4737,128.22454507071987
2017-10,2017,10,Oct,10,648247.65,4478,5214,124.32827963176065
2017-11,2017,11,Nov,11,987765.37,7289,8475,116.55048613569322
2017-12,2017,12,Dec,12,726033.1900000001,5513,6187,117.34818005495394
2018-01,2018,1,Jan,1,924645.0,7069,8037,115.04852556924226
2018-02,2018,2,Feb,2,826437.13,6555,7518,109.9277906358074
2018-03,2018,3,Mar,3,953356.25,7003,8017,118.91683297991767
2018-04,2018,4,Apr,4,973534.09,6798,7827,124.38151143477705
2018-05,2018,5,May,5,977544.6900000001,6749,7810,125.1657733674776
2018-06,2018,6,Jun,6,856077.86,6099,7010,122.12237660485022
2018-07,2018,7,Jul,7,867953.46,6159,6963,124.65222748815165
2018-08,2018,8,Aug,8,838576.64,6351,7142,117.4148193783254
