customer_state,revenue,orders,customers,avg_delivery_days,pct_late
SP,5067633.16,40501,39156,8.2596627979587,0.0577
RJ,1759651.1300000001,12350,11917,14.688821325037122,0.1297
MG,1552481.83,11354,11001,11.514091049860639,0.0544
RS,728897.47,5345,5168,14.708299364095875,0.0688
PR,666063.51,4923,4769,11.480793060718712,0.0478
SC,507012.13,3546,3449,14.517207712960703,0.0962
BA,493584.14,3256,3158,18.77464023893565,0.1368
DF,296498.41,2080,2019,12.501486199575371,0.0743
GO,282836.7,1957,1895,14.948177426438296,0.0786
ES,268643.45,1995,1928,15.192808988764044,0.1222
PE,251889.49,1593,1551,17.79209621993127,0.1019
CE,219757.38,1279,1258,20.537166900420758,0.1529
PA,174470.59,946,922,23.301707779886147,0.1243
MT,152191.62,886,856,17.508196721311474,0.0675
MA,117009.38,717,700,21.20375,0.2037
MS,115429.97,701,681,15.10727496917386,0.1085
PB,112586.82,517,504,20.119453924914676,0.1126
PI,84721.0,476,464,18.931166347992352,0.1549
RN,82105.66,474,464,18.87332053742802,0.1036
AL,78855.72,397,387,23.992974238875878,0.2412
SE,56574.19,335,329,20.978666666666665,0.1627
TO,48402.51,274,267,17.003225806451614,0.1226
RO,45682.76,243,231,19.28205128205128,0.0403
AM,22155.84,145,140,25.96319018404908,0.0429
AC,15930.97,80,76,20.32967032967033,0.033
AP,13374.81,67,66,27.753086419753085,0.0494
RR,7057.47,41,40,27.82608695652174,0.1087
